artist_name;track_name;release_date;genre;sadness;danceability;acousticness;topic;energy;track_id
youngblood hawke;we come running;2012;pop;0.0003373819411298;0.5407776454023612;0.0002871488826796;music;0.7367285144440947;t174
kesha;crazy kids;2012;pop;0.0114155530090742;0.7368136033791834;0.0141556367024464;obscene;0.706697546509961;t175
travis porter;bring it back;2012;pop;0.0004616805385085;0.9555940647676812;0.1164649763704582;obscene;0.7607532887914016;t176
danny brown;grown up;2012;pop;0.0312067576837631;0.6360879454131919;0.1174689934427645;obscene;0.7647574178492861;t177
wiz khalifa;remember you (feat. the weeknd);2012;pop;0.067922286585337;0.7194844579226687;0.2178707006733942;obscene;0.7757687727584685;t178
one direction;stand up;2012;pop;0.7543626097822757;0.5635221488140367;0.0066455890015953;sadness;0.902899870346301;t179
walk the moon;tightrope;2012;pop;0.3586644418910672;0.4433012022094661;9.397599796786944e-05;sadness;0.7897832244610642;t180
justin bieber;fall;2012;pop;0.5557889740023447;0.5905989385898408;0.2600394177102587;sadness;0.7547470952045748;t181
the weeknd;rolling stone;2012;pop;0.0010964913000837;0.6837430954186072;0.4066259102669782;obscene;0.323302189217521;t182
one direction;over again;2012;pop;0.4377631638444784;0.5234484999458465;0.3092362542532673;sadness;0.5565427068392926;t183
pitbull;feel this moment (feat. christina aguilera);2012;pop;0.0004699248454099;0.6620816635979638;0.0391556618028733;world/life;0.7587512242624593;t184
hoodie allen;no interruption;2012;pop;0.0201325336845644;0.4714610635763026;0.2279108713964572;obscene;0.706697546509961;t185
carrie underwood;blown away;2012;pop;0.4069297284887777;0.5082854976713962;0.0912641478555701;sadness;0.8438389667425048;t186
passion pit;take a walk;2012;pop;0.466905938260409;0.5461930033575221;0.0339347730268805;sadness;0.755748127469046;t187
the lumineers;flowers in your hair;2012;pop;0.4413309763666018;0.6588324488248675;0.7520077831403447;sadness;0.6095974168562621;t188
of monsters and men;little talks;2012;pop;0.1695752973951254;0.4313874147081122;0.021585363037513;violence;0.7867801276676507;t189
owl city;when can i see you again?;2012;pop;0.0021052632461885;0.6241741579118381;0.0264046449845833;world/life;0.8318265795688513;t190
katy perry;wide awake;2012;pop;0.3383721509959864;0.4898732806238492;0.0751998746986693;sadness;0.6836738044271251;t191
zedd;stay the night;2012;pop;0.1276713035153766;0.578685151088487;0.1094368568643141;night/time;0.738730578973037;t192
walk the moon;anna sun;2012;pop;0.2409041094025554;0.4454673453915304;0.002127512176217;violence;0.8618575475029849;t193
rihanna;pour it up;2012;pop;0.1408670172845524;0.7801364670204701;0.0210833545013599;obscene;0.4954797387065541;t194
zedd;clarity;2012;pop;0.3169161150968132;0.4844579226686885;0.0399588754607183;violence;0.7817749663452951;t195
the lumineers;ho hey;2012;pop;0.0015037595001304;0.67507852269035;0.797188551394128;music;0.4664498030368916;t196
frank ocean;thinkin bout you;2012;pop;0.0005720824317626;0.7086537420123471;0.4116459956285097;obscene;0.3503300603582413;t197
the lumineers;stubborn love;2012;pop;0.0010964913224399;0.5808512942705513;0.6094373588728503;violence;0.5605468358971771;t198
lord huron;ends of the earth;2012;pop;0.0008771930118442;0.5288638579010073;0.2680715542887091;world/life;0.5795664489221284;t199
of monsters and men;dirty paws;2012;pop;0.001594896559686;0.3219971840138633;0.1084328397920078;violence;0.648637675170636;t200
adele;skyfall;2012;pop;0.3656425130472518;0.3079172533304452;0.4186741151346538;violence;0.5525385777814081;t201
brandi carlile;heart's content;2012;pop;0.0019493179047971;0.5440268601754575;0.7269073563326872;violence;0.2091845110678131;t202
nicki minaj;high school;2012;pop;0.0004741584224598;0.5082854976713962;0.1355413007442778;obscene;0.6836738044271251;t203
frank ocean;sweet life;2012;pop;0.0004873294500519;0.5082854976713962;0.281123776228691;world/life;0.5865736747734263;t204
emeli sandé;next to me;2012;pop;0.1440307977761933;0.6631647351889961;0.0926697717567989;obscene;0.8108049020149578;t205
the neighbourhood;sweater weather;2012;pop;0.0235718566307562;0.6859092386006715;0.1506015568288723;violence;0.6156036104430889;t206
john mayer;something like olivia;2012;pop;0.0021929826055569;0.7682226795191162;0.5973891540051748;night/time;0.4244064479291044;t207
zedd;spectrum;2012;pop;0.2228791928150537;0.5927650817719051;0.0137540298735239;violence;0.8017956116347176;t208
mac miller;thoughts from a balcony;2012;pop;0.0314797265270101;0.4519657749377234;0.1626497616965479;obscene;0.641630449319338;t209
the weeknd;loft music;2012;pop;0.0005159958863171;0.2440160294595472;0.5833329149928865;obscene;0.4984828354999674;t210
frank ocean;crack rock;2012;pop;0.0006747638974971;0.5440268601754575;0.0887541051748044;violence;0.738730578973037;t211
mac miller;the question;2012;pop;0.0004741583940006;0.7303151738329904;0.0561235503248497;obscene;0.5835705779800129;t212
grimes;genesis;2012;pop;0.4539471373913166;0.5949312249539696;0.0767059003071288;sadness;0.6776676108402985;t213
chris brown;don't wake me up;2012;pop;0.4530670136517726;0.58518358063468;0.0550191315453128;sadness;0.6916820625428941;t214
avicii;i could be the one (avicii vs. nicky romero);2012;pop;0.0015037594439931;0.4866240658507528;0.3293165956993932;feelings;0.8078018052215444;t215
pomplamoose;bust your knee caps;2012;pop;0.0276617170642477;0.3750676919744395;0.0474890035030155;obscene;0.5635499326905904;t216
calvin harris;sweet nothing (feat. florence welch);2012;pop;0.0295618298898538;0.5537745044947471;0.1977903592272683;romantic;0.9299277414870214;t217
kid ink;hell & back;2012;pop;0.0005913660712991;0.5797682226795191;0.3403607834947625;violence;0.5455313519301104;t218
marina;teen idle;2012;pop;0.2004626097748756;0.5516083613126829;0.2429711274810516;violence;0.6516407719640491;t219
santigold;disparate youth;2012;pop;0.0006925208265623;0.6285064442759667;0.0131516196301401;violence;0.9319298060159636;t220
mac miller;loud;2012;pop;0.0328222639804502;0.6360879454131919;0.0025893600294779;obscene;0.8228172891886113;t221
usher;climax;2012;pop;0.1820518229970732;0.6339218022311276;0.5491963345344726;world/life;0.478462190210545;t222
of monsters and men;king and lionheart;2012;pop;0.3927262688504073;0.4931224953969457;0.1345372836719715;sadness;0.6866769012205385;t223
john mayer;queen of california;2012;pop;0.0027700833755882;0.513700855626557;0.6405618881143456;violence;0.738730578973037;t224
miguel;how many drinks?;2012;pop;0.000294031180396;0.3436586158345067;0.0031214890778002;night/time;0.608596384591791;t225
florida georgia line;stay;2012;pop;0.3038450444576882;0.4682118488032059;0.0746978661625162;sadness;0.9369349673383192;t226
fall out boy;just one yesterday;2013;pop;0.0006418485794499;0.4833748510776563;0.042468918141484;world/life;0.9079050316686568;t227
a day to remember;sometimes you're the hammer, sometimes you're the nail;2013;pop;0.3147247617894059;0.1432903714935557;0.0013142583476489;sadness;0.9789783224461064;t228
the head and the heart;let's be still;2013;pop;0.0007518797489246;0.6230910863208059;0.6506020588374086;world/life;0.413395093019922;t229
