artist_name;track_name;release_year;genre;sadness;danceability;acousticness;topic;track_id
thievery corporation;vampires (afrolicious & rob garza remix);2011;jazz;0.0009074410587286;0.689158453373768;0.063352473245455;violence;t2551
peggy lee;sweet happy life;2011;jazz;0.2415226198891344;0.689158453373768;0.6114453930174629;world/life;t2552
thievery corporation;tower seven;2011;jazz;0.148817626080388;0.3035849669663165;0.1234930958766023;world/life;t2553
crazy p;eruption;2011;jazz;0.0943638038015999;0.71515217155854;0.0483926188680912;feelings;t2554
gramatik;dreambig;2011;jazz;0.0013850415980822;0.7454781761074407;0.0694769773865234;night/time;t2555
wildcookie;serious drug;2011;jazz;0.0018796995635822;0.7888010397487275;0.6767065027173723;obscene;t2556
eldissa;what a difference a day made;2011;jazz;0.00181488210749;0.598180439727066;0.8383532513586862;music;t2557
emancipator;first snow (ooah remix);2011;jazz;0.0017543860126765;0.5862666522257122;0.2881518957348351;violence;t2558
proleter;mayflowers;2011;jazz;0.0657393478982089;0.8613668363478827;0.1546176251180975;obscene;t2559
algorythmik;andrew's break;2011;jazz;0.0131578947751715;0.9122712011263946;0.1415654031781156;night/time;t2560
nujabes;city lights (feat. pase rock & substantial);2011;jazz;0.0013157900186091;0.8332069749810462;0.554216419896004;violence;t2561
crazy p;heartbreaker;2011;jazz;0.0021929826874023;0.9036066283981372;0.1536136080457912;feelings;t2562
julie london;i'm glad there is you;2011;jazz;0.0035087721059595;0.4638795624390772;0.9618473512523608;world/life;t2563
stacey kent;quiet nights of quiet stars;2011;jazz;0.084885514141484;0.5440268601754575;0.9216866683601088;music;t2564
fredrik kronkvist;the chant;2011;jazz;0.1268275728661821;0.5158669988086212;0.3584330907962759;violence;t2565
thievery corporation;culture of fear;2011;jazz;0.0006341154414879;0.8072132567962743;0.3122483054701862;violence;t2566
stéphane pompougnac;one by one;2011;jazz;0.3013948024530011;0.6664139499620926;0.0002108435851843;sadness;t2567
beyond creation;omnipresent perception;2011;jazz;0.0043859651277938;0.1920285930900032;1.9377529495511545e-05;world/life;t2568
vektor;tetrastructural minds;2011;jazz;0.156886403978241;0.280840463554641;0.0004407634947424;violence;t2569
peggy lee;i go to sleep;2011;jazz;0.228479158429442;0.3750676919744395;0.7650600050803265;night/time;t2570
11 acorn lane;swing thing;2011;jazz;0.0025062656775982;0.9014404852160728;0.0155612606036753;feelings;t2571
eldissa;ring my bell;2011;jazz;0.001144164841808;0.7238167442867974;0.7439756465618942;music;t2572
eldissa;fame;2011;jazz;0.091260408888041;0.6772446658724143;0.7740961587310831;obscene;t2573
tesseract;deception;2011;jazz;0.4963289332314308;0.1617025885411026;7.238963091328405e-06;sadness;t2574
the dear hunter;stuck on a wire out on a fence;2011;jazz;0.0016977929709127;0.5375284306292646;0.0013945797134334;violence;t2575
jazz spastiks;(never been to) california;2011;jazz;0.0017543860648364;0.6967399545109932;0.732931458766525;violence;t2576
ronnie laws;stay awake;2011;jazz;0.3017743766986103;0.4400519874363695;0.4257022346407978;sadness;t2577
jo stafford;red river valley;2011;jazz;0.3532044358369223;0.1346257987652984;0.9829317097707932;sadness;t2578
the shaolin afronauts;kilimanjaro;2011;jazz;0.4140726040103878;0.6209249431387416;0.271083605505628;sadness;t2579
between the buried and me;the black box;2012;jazz;0.0058479532540303;0.4151413408426297;0.5652606076913732;violence;t2580
big bad voodoo daddy;it only took a kiss;2012;jazz;0.3509866716621032;0.9133542727174268;0.6676703490666156;sadness;t2581
devin townsend project;where we belong;2012;jazz;0.1986709389150672;0.3360771146972816;0.0051094428809667;music;t2582
steve tyrell;i’ll take romance;2012;jazz;0.0620662350015738;0.539694573811329;0.6265056491020574;romantic;t2583
gabin;lies;2012;jazz;0.2011543988746757;0.4476334885735947;0.466866934605356;world/life;t2584
meshuggah;marrow;2012;jazz;0.0026315790446115;0.4454673453915304;6.295187043360485e-06;violence;t2585
dj shadow;high noon;2012;jazz;0.300149940062169;0.4530488465287555;0.001173695957526;sadness;t2586
electronic swing orchestra;clint eastwood;2012;jazz;0.0830100952404092;0.7086537420123471;0.1044167715027826;night/time;t2587
between the buried and me;parallax;2012;jazz;0.3973838146629432;0.2721758908263836;0.7720881245864706;sadness;t2588
caravan palace;clash;2012;jazz;0.0007855459614999;0.8429546193003358;0.213854632384169;obscene;t2589
meshuggah;swarm;2012;jazz;0.0026315791294148;0.1216289396729123;3.684742655364112e-06;violence;t2590
robert glasper experiment;lift off / mic check;2012;jazz;0.0023923447889103;0.3729015487923752;0.1184730105150708;world/life;t2591
vildhjarta;traces;2012;jazz;0.1560775932901355;0.2050254521823892;6.767075067344446e-05;violence;t2592
jonathan fritzén;turn back time;2012;jazz;0.0087719299622391;0.772554965883245;0.213854632384169;obscene;t2593
meshuggah;i am colossus;2012;jazz;0.0015037594982806;0.3544893317448284;6.987958823251832e-06;violence;t2594
parov stelar;nobody's fool;2012;jazz;0.5453294126889209;0.7833856817935667;0.1275091641658274;sadness;t2595
moonchild;be free;2012;jazz;0.0021929827720538;0.5451099317664898;0.7218872709711558;night/time;t2596
